Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
25578-1%1.1.2.1.1.3%Schisandraceae%%N%Kadsura%%N%%%gen.%Kaempf. ex Juss.%%Kaempf. ex Juss.%Kadsura%Ann. Mus. Natl. Hist. Nat.%xvi. (1810) 340.%%%%%%%%tax. nov.
25593-1%1.3.1.2%Schisandraceae%%N%Maximowiczia%%N%%%gen.%Rupr.%%Rupr.%Maximowiczia%Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg%xv. (1856) 142, 124%%%%%%%%tax. nov.
25604-1%1.2.2.2.1.2%Schisandraceae%%N%Schisandra%%N%%%gen.%Michx.%%Michx.%Schisandra%Fl. Bor.-Amer. (Michaux)%2: 218, t. 47%1803 [19 Mar 1803]%%%%%%%tax. nov.
25605-1%1.1.2.2.1.3%Schisandraceae%%N%Schisandra%%N%%%gen.%Michx.%%Michx.%Schisandra%Fl. Bor.-Amer. (Michaux)%2: 218, t. 47%1803 [19 Mar 1803]%%%%%%%unknown
331937-2%1.5%Schisandraceae%%N%Schisandra%%N%%%gen.%Michx.%%Michx.%Schisandra%Fl. Bor.-Amer. (Michaux)%2: 218%1803 [19 Mar 1803]%%nom. cons.%%%%%tax. nov.
