Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
38592-1%1.3%Sphaerosepalaceae%%N%Dialyceras%%N%%%gen.%Capuron%%Capuron%Dialyceras%Adansonia%sér. 2, 2: 262%1962%%%%%%%unknown
39511-1%1.4%Sphaerosepalaceae%%N%Rapolocarpus%%N%%%gen.%Bojer%%Bojer%Rapolocarpus%Hortus Maurit.%44 (1837) err. typ.%1837%%%%%%%tax. nov.
33616-1%1.5%Sphaerosepalaceae%%N%Rhopalocarpus%%N%%%gen.%Bojer%%Bojer%Rhopalocarpus%Trav. Soc. Hist. Nat. Maurice%1846, 149.%%%%%%%%tax. nov.
39513-1%1.4%Sphaerosepalaceae%%N%Ropalocarpus%%N%%%gen.%Bojer%%Bojer%Ropalocarpus%Hortus Maurit.%44 (1837).%1837%%%%%%%tax. nov.
19412-1%1.6%Sphaerosepalaceae%%N%Sphaerosepalum%%N%%%gen.%Baker%%Baker%Sphaerosepalum%J. Linn. Soc., Bot.%21: 321%1884 [1886 publ. 1884]%%%%%%%tax. nov.
