Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
329829-2%1.1.2.1.1.3%Cobaeaceae%%N%Cobaea%%N%%%gen.%Cav.%%Cav.%Cobaea%Icon. [Cavanilles]%1: 11%1791 [16 Feb 1791]%%%%%%%tax. nov.
84686-3%1.1%Cobaeaceae%%N%Cobaea%%N%%%gen.%Cav.%%Cav.%Cobaea%Icones de Descriptiones Plantarum 1%%1791 (16 Feb. 1791)%%%%%%%unknown
32276-1%1.1.2.1.1.2%Cobaeaceae%%N%Cobaea%%N%%%gen.%Cav.%%Cav.%Cobaea%Icon. [Cavanilles]%i. 11. t. 16, 17 (1791).%%%%%%%%tax. nov.
