Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
26701-1%1.1.2.1.1.2.2.1%Ptaeroxylaceae%%N%Cedrelopsis%%N%%%gen.%Baill.%%Baill.%Cedrelopsis%Hist. pl. Madag., Atlas%(1893) t. 257.%%%%%%%%tax. nov.
36548-1%1.4%Ptaeroxylaceae%%N%Ptaeroxylon%%N%%%gen.%Eckl. & Zeyh.%%Eckl. & Zeyh.%Ptaeroxylon%Enum. Pl. Afric. Austral. [Ecklon & Zeyher]%1: 54%Dec 1834-Mar 1835%%%%%%%tax. nov.
