Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
39560-1%1.3%Trigoniaceae%%N%Humbertiodendron%%N%%%gen.%Leandri%%Leandri%Humbertiodendron%in Compt. Rend. Acad. Sci. Paris%ccxxix. 848 (1949)%%%%%%%%unknown
1017959-1%1.6%Trigoniaceae%%N%Isidodendron%%N%%%gen.%Fern.Alonso, Pérez-Zab. & Idarraga%%Fern.Alonso, Pérez-Zab. & Idarraga%Isidodendron%Revista Acad. Colomb. Ci. Exact.%24(92): 348%2000%%%%%%%tax. nov.
41637-1%1.3%Trigoniaceae%%N%Trigonia%%N%%%gen.%Aubl.%%Aubl.%Trigonia%Hist. Pl. Guiane%1: 387, tt. 149, 150%1775 [Jun-Dec 1775]%%%%%%%unknown
32403-1%1.4%Trigoniaceae%%N%Trigoniastrum%%N%%%gen.%Miq.%%Miq.%Trigoniastrum%Fl. Ned. Ind., Eerste Bijv.%3: 394%1861 [Dec 1861]%%%%%%%tax. nov.
332031-2%1.3%Trigoniaceae%%N%Trigoniastrum%%N%%%gen.%Miq.%%Miq.%Trigoniastrum%Fl. Ned. Ind., Eerste Bijv.%394%1861 [Dec 1861]%%nom. cons.%%%%%tax. nov.
925084-1%1.1.2.2.1.2%Trigoniaceae%%N%Trigoniodendron%%N%%%gen.%E.F.Guim. & Miguel%%E.F.Guim. & Miguel%Trigoniodendron%Revista Brasil. Biol.%47(4): 559 (1987).%1987%%%%%%%tax. nov.
