Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
38157-1%1.3%Balanitaceae%%N%Agialid%%N%%%gen.%Adans.%%Adans.%Agialid%Fam. Pl. (Adanson)%2: 508%1763%%%%%%%unknown
60466960-2%1.1%Balanitaceae%%N%Agialida%%N%%%gen.%Kuntze%%Kuntze%Agialida%Revis. Gen. Pl.%1: 103%1891 [5 Nov 1891]%orth. var.    of Agialid Adans. (1763)%Kuntze listed "Agialid(a) Ad. (1763")" as an accepted name.%%%%%tax. nov.
38158-1%1.1.2.1.1.2%Balanitaceae%%N%Agihalid%%N%%%gen.%Juss.%%Juss.%Agihalid%Dict. Sci. Nat. [F. Cuvier]%1: 297%1804 [12 Oct 1804]%%orth. var. = Agialid Adans.%%%%%tax. nov.
331380-2%1.5%Balanitaceae%%N%Balanites%%N%%%gen.%Delile%%Delile%Balanites%Descr. Egypte, Hist. Nat.%2: 221%1813 [1813-1814]%nom. cons.%Generic name conserved as feminine gender.  See Taxon 63(6): 1343. 2014.%%%%%tax. nov.
38166-1%1.6%Balanitaceae%%N%Balanites%%N%%%gen.%Delile%%Delile%Balanites%Fl. Egypte%221. t. 28. f. 1. (1813).%%%Generic name conserved as feminine gender.  See Taxon 63(6): 1343. 2014.%%%%%tax. nov.
41703-1%1.6%Balanitaceae%%N%Balanites%%N%%%gen.%Delile%%Delile%Balanites%Mem. Egypte%iii. 326 [1801-02].%%%Generic name conserved as feminine gender.  See Taxon 63(6): 1343. 2014.%%%%%tax. nov.
