Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
17177210-1%1.3%Plagiogyriaceae%%N%Plagiogyria%%N%%%gen.%(Kunze) Mettenius%(Kunze) %Mettenius%Plagiogyria%Farng.%II Plagiogyria 1858%1858%%%%%%%unknown
17275960-1%1.2%Plagiogyriaceae%%N%Plagiogyria%%N%%%gen.%(Kunze) Mettenius.%(Kunze) %Mettenius.%Plagiogyria%%%%%%%%%%unknown
17346320-1%1.3%Plagiogyriaceae%%N%Plagiogyria%%N%%%gen.%Mett.Cf.Copeland%%Mett.Cf.Copeland%Plagiogyria%Philipp. J. Sci.%38: 377 f%1929%%%%%%%unknown
65464-3%1.1%Plagiogyriaceae%%N%Plagiogyria%%N%%%gen.%(Kunze) Mett.%(Kunze) %Mett.%Plagiogyria%Abhandlungen, Herausgegeben von der Senckenbergischen Naturforschenden Gesellschaft 2%%1858%% Publication seen at the Staatsbibliothek, Berlin.%%%%%comb. nov.
17181570-1%1.1.2.1.1.3%Plagiogyriaceae%%N%Polygramma%%N%%%gen.%C.Presl%%C.Presl%Polygramma%Epimel. Bot.%156%1851 [Oct 1851]%%%%%%%tax. nov.
