Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
153773-3%1.1%Cardiopteridaceae%%N%Cardiopteris%%N%%%gen.%Wall. ex Royle%%Wall. ex Royle%Cardiopteris%Rumphia 3%%1847%% See nomenclatural notes by A.A.Bullock, Kew Bull. (1957) 356, 15 (1962) 392-393; van Steenis & Bakhuizen van den Brink, Fl. Males. Bull. 15 (1960) 725 on CARDIOPTERIS vs. PERIPTERYGIUM.%%%%%unknown
6148-1%1.1.2.2.1.2%Cardiopteridaceae%%N%Cardiopteris%%N%%%gen.%Wall. ex Benn. & R.Br.%%Wall. ex Benn. & R.Br.%Cardiopteris%Pl. Jav. Rar.%246(1852).%%%%%%%%unknown
6149-1%1.1.2.2.1.3%Cardiopteridaceae%%N%Cardiopteris%%N%%%gen.%Wall. ex Blume%%Wall. ex Blume%Cardiopteris%Rumphia%3: 205%1849 [Jan 1849]%%%%%%%unknown
122612-3%1.1%Cardiopteridaceae%%N%Peripterygium%%N%%%gen.%Hassk.%%Hassk.%Peripterygium%Tijdschrift voor Natuurlijke Geschiedensis en Physiologie. Amsterdam 10%%1843%% Publication not seen; reference from Index Nominum Genericorum 3 (1979) 1291.%%%%%unknown
28249-1%1.5%Cardiopteridaceae%%N%Peripterygium%%N%%%gen.%Hassk.%%Hassk.%Peripterygium%in Hoev. & De Vriese%Tijdschr. x. (1843) 142; et Cat. Hort. Bog. Alt. 234(1844)%%%%%%%%tax. nov.
