Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
27178-1%1.1.2.1.1.3%Lowiaceae%%N%Lowia%%N%%%gen.%Scort.%%Scort.%Lowia%Nuovo Giorn. Bot. Ital.%xviii. (Oct. 25, 1886) 308%%%%%%%%tax. nov.
37308-1%1.1.2.1.1.3%Lowiaceae%%N%Lowia%%N%%%gen.%Scort.%%Scort.%Lowia%Nuovo Giorn. Bot. Ital.%xviii. (1886) 308; Petersen, in Engl. & Prantl,Naturl. Pflanzenfam. ii. 6 (1888) 10.%%%%%%%%tax. nov.
27182-1%1.4%Lowiaceae%%N%Orchidantha%%N%%%gen.%N.E.Br.%%N.E.Br.%Orchidantha%Gard. Chron.%Oct. 23, 1886, 519.%%%%%%%%tax. nov.
27181-1%1.4%Lowiaceae%%N%Orchidantha%%N%%%gen.%N.E.Br.%%N.E.Br.%Orchidantha%Gard. Chron.%(1886) ii. 519; Petersen, in Engl. & Prantl, Naturl.Pflanzenfam. ii. 5 (1888) 10.%%%%%%%%tax. nov.
37344-1%1.1.2.1.1.2%Lowiaceae%%N%Protamomum%%N%%%gen.%Ridl.%%Ridl.%Protamomum%in Straits Times%(13 Nov. 1891), ex Journ. Bot. xxx. (1892) 31; et in Trans.Linn. Soc. Ser. II. iii. (1893) 383. t. 66.%%%%%%%%tax. nov.
37379-1%1.3.2.2%Lowiaceae%%N%Wolfia%%N%%%gen.%Dennst.%%Dennst.%Wolfia%Schlüssel Hortus Malab.%38 (1818).%1818 [20 Oct 1818]%nom. illeg. later homonym    non Wolfia Schreb. 1791 (Flacourtiaceae)%%%%%%tax. nov.
