∆Ï˙ó,’◊∏˜,∞Áº≈,…◊ıé,ìË◊°≥˛,ìË◊° Òl,ìË◊°”¿∑Ω,∆´ÜUó¯1,∆´ÜUó¯2,íkÖR…◊,õgÖR…◊,íkÖR≥˛,õgÖR≥˛,¡Ô“∑,≥˛“∑,íkõg—◊ºä,¸Ník≥˛,¸Ník Òl,¸Nõg≥˛,¸Nõg Òl,∞Á∆¸›xïä◊æ≤ÒìË◊°≥˛,∞Á∆¸›xïä◊æ≤ÒìË◊° Òl,∞Á∆¸›xïä◊æ≤ÒìË◊°”¿∑Ω,∞Á∆¸›xïä◊æ≤Ò¡Ô“∑
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:14:00,3450,187,193545000,187,0,3399,3443,3456,6,2,3,0,3,93,96772500,93,96772500,187,193545000,187,3
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:00,3456,3,3108600,3,0,3399,3456,3458,1,6,0.166666666666667,0,1,3,3108600,0,0,190,196653600,190,0.875
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:01,3456,1,1036800,0,0,3399,3451.8,3452,2,1,2,0,2,0,0,1,1036800,191,197690400,190,1
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:01,3453.8,4,4147740,3,0,3399,3451.8,3455,2,1,2,0,1,4,4147740,0,0,195,201838140,193,1.1
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:02,3453,4,4144800,3,0,3399,3451.8,3453,2,1,2,0,1,4,4144800,0,0,199,205982940,196,1.18181818181818
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:02,3455,2,2072400,2,0,3399,3452,3458,2,4,0.5,0,1,2,2072400,0,0,201,208055340,198,1
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:03,3455,3,3109500,0,0,3399,3452,3458,2,4,0.5,0,1,3,3109500,0,0,204,211164840,198,0.894736842105263
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:04,3458,5,5186100,4,0,3399,3458,3460,45,7,6.42857142857143,0,1,5,5186100,0,0,209,216350940,202,2.38461538461538
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:04,3458,10,10374000,10,0,3399,3458,3459,41,2,20.5,0,2,0,0,10,10374000,219,226724940,212,3.67857142857143
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:05,3460,10,10378800,8,0,3399,3460,3462,1,2,0.5,0,1,10,10378800,0,0,229,237103740,220,3.46666666666667
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:05,3460,1,1038000,1,0,3399,3460.4,3462,3,2,1.5,0,2,0,0,1,1038000,230,238141740,221,3.34375
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:06,3462,2,2077200,2,0,3399,3462.4,3465,2,3,0.666666666666667,0,1,2,2077200,0,0,232,240218940,223,3.11428571428571
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:06,3462,0,0,0,0,3399,3462.8,3465,3,3,1,0,0,0,0,0,0,232,240218940,223,2.94736842105263
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:07,3465,3,3117600,2,0,3399,3463,3465,2,1,2,0,1,3,3117600,0,0,235,243336540,225,2.92307692307692
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:07,3465,0,0,0,0,3399,3463,3465,7,1,7,0,0,0,0,0,0,235,243336540,225,3.025
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:08,3465,1,1039500,1,0,3399,3463,3466,7,12,0.583333333333333,0,1,1,1039500,0,0,236,244376040,226,2.46153846153846
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:08,3463,1,1038900,1,0,3399,3465,3466,1,12,0.0833333333333333,0,2,0,0,1,1038900,237,245414940,227,2.015625
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:09,3466,2,2079600,2,0,3399,3465,3465.6,1,1,1,0,1,2,2079600,0,0,239,247494540,229,2
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:09,3468,14,14558400,13,0,3399,3466,3468,23,20,1.15,0,1,14,14558400,0,0,253,262052940,242,1.8
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:10,3466,2,2079600,1,0,3399,3466,3468,21,20,1.05,0,2,0,0,2,2079600,255,264132540,243,1.65714285714286
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:10,3466,1,1039800,0,0,3399,3466,3468,20,20,1,0,2,0,0,1,1039800,256,265172340,243,1.552
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:11,3468,3,3120600,3,0,3399,3466,3468,18,18,1,0,1,3,3120600,0,0,259,268292940,246,1.48251748251748
IF00,ºáçyÎ‡ön¸NÀ]‘‘∞£,2010-04-16 09:15:11,3466,1,1039800,1,0,3399,3466,3468,17,18,0.944444444444444,0,2,0,0,1,1039800,260,269332740,247,1.4223602484472
