MolSmiles,Bio_Activity
CC12CCC3C(C1CCC2O)C(=O)C=C4C3(CCC=C4)C,-0.72
CC12CCC3C(C1CCC2O)CC=C4C3(CCCC4)C,-0.48
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC=C4)C,1.24
CC12CCC3C(C1CCC2O)CC=C4C3(CCC=C4)C,-0.3
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34,0.85
CC12CCCC=C1CCC3C2CCC4(C3CCC4=O)C,1.89
CC12CCC3C(C1CCC2=O)CCC4=CCCCC34CO,1.9
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34CO,0.6
CC12CCC3C(C1CCC2=O)CC(=O)C4=CC(=O)CCC34C,1.59
CC12CCC3C(C1CCC2=O)C4C(C4(F)F)C5=CC(=O)CCC35C,1.3
CC12CCC3C(C1CCC2=O)C4CC4C5=CCCCC35C,2.3
CC12CCC3C(C1CCC2O)C4CC4C5=CCCCC35C,0.92
CC12CCC3C(C1CCC2O)CCC4=CCCCC34C,0.08
CC12CCC3C(C1CCC2O)CCC4=CCCCC34CO,0.77
CC(=O)OCC12CCCC=C1CCC3C2CCC4(C3CCC4=O)C,0.54
CC12CCCC=C1CCC3C2CCC4(C3CC(C4=O)Br)C,0.64
CC12CCCC=C1CCC3C2CCC4(C3CC(C4=O)Br)C,0.34
CC12CCC3C(C1CCC2=O)CCC4=CCCCC34C(F)F,0.35
CC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,1.96
CC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,2.25
CCC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,2.85
CCC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,2.33
CCCC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,2.34
CCCC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,2.17
CCCCC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,2.06
CCCCC1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,1.92
CC(C)C1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,1.66
CC(C)C1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,1.51
CC12CCC3C(C1CCC2=O)CC(C4=CC(=O)CCC34C)[C-]5[CH-][CH-][CH-][CH-][CH-]5,1.43
CC12CCC3C(C1CCC2=O)CC(C4=CC(=O)CCC34C)[C-]5[CH-][CH-][CH-][CH-][CH-]5,1.68
CC12CCC3C(C1CCC2=O)CC(C4=CC(=O)CCC34C)Cc5ccccc5,1.2
CC12CCC3C(C1CCC2=O)CC(C4=CC(=O)CCC34C)Cc5ccccc5,2.0
CC12CCC3C(C1CCC2=O)CC(C4=CC(=O)CCC34C)C=C,2.29
CC12CCC3C(C1CCC2=O)CC(C4=CC(=O)CCC34C)C#C,1.21
CC=C1CC2C3CCC(=O)C3(CCC2C4(C1=CC(=O)CC4)C)C,2.31
CC12CCC3C(C1CCC2=O)C=CC4=C(C(=O)CCC34C)N,1.34
CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,2.37
CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)N,1.43
CC12CCC3C(C1CCC2=O)CCC4=C(C(=O)C=CC34C)N,1.17
CC12CCC3C(C1CCC2=O)C=CC4=C(C(=O)C=CC34C)N,1.34
CC12CCC3C(C1CCC2=O)Cc4c[nH]c5c4C3(C=CC5=O)C,2.0
CC12CCC3C(C1CCC2=O)CC(=C)C4=C(C(=O)C=CC34C)N,2.14
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C5CCC34C5,1.46
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C5CC(C34C5)O,0.07
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C5CC(C34C5)O,0.04
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C5CC34COC5,2.15
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C5CC34CSC5,1.7
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C5CCCC34C5,2.66
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C5CC34CNC5,0.65
