MolSmiles,Bio_Activity
CC12CCC3C(C1CCC2=O)C(CC4=CC(=O)CCC34C)Sc5ccccc5,1.7
CC12CCC3C(C1CCC2=O)C(CC4=CC(=O)CCC34C)Sc5cccc6c5cccc6,1.85
CC12CCC3C(C1CCC2=O)C(CC4=CC(=O)CCC34C)Sc5ccc6ccccc6c5,1.56
CC12CCC3C(C1CCC2=O)C(CC4=CC(=O)CCC34C)Sc5ccc(cc5)Br,1.66
CC12CCC3C(C1CCC2=O)C(CC4=CC(=O)CCC34C)Sc5ccc(cc5)I,1.91
CC12CCC3C(C1CCC2=O)C(CC4=CC(=O)CCC34C)Sc5ccc(cc5)N,1.74
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)Cc5ccccc5,1.21
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)Cc5ccc(cc5)N,1.06
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)Cc5ccc(cc5)N(=O)=O,1.03
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)c5ccccc5,-0.15
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)CCc5ccc(cc5)N,1.06
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)CCc5ccc(cc5)N(=O)=O,1.02
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)CCc5ccccc5,0.76
CC12CCC3C(C1CCC2=O)C(CC4=CC(=O)C=CC34C)Sc5ccc(cc5)N,2.0
CC12CCC3C(C1CCC2=O)C(=O)C=C4C3(CCCC4)CO,-1.04
CC12CCC3C(C1CCC2O)C(=O)C=C4C3(CCCC4)CO,-1.65
CC12CCC3C(C1CCC2=O)C(=O)C=C4C3(CCCC4)C=O,-1.11
CC12CCC3C4CCCCC4=CC(=O)C3C1CCC2=O,-0.38
CC12CCC3C(C1CCC2O)C(=O)C=C4C3(CCCC4)C,-0.74
CC12CCC3C(C1CCC2=O)C(=O)C=C4C3(CCC=C4)CO,-1.18
CC12CCC3C(C1CCC2=O)C(=O)C=C4C3(CCC=C4)C=O,-0.26
CC12CCC3C4CCC=CC4=CC(=O)C3C1CCC2=O,-0.48
CC12CCC3C(C1CCC2=O)CC=C4C3(CCCC4)CO,0.0
CC12CCC3C(C1CCC2O)CC=C4C3(CCCC4)CO,-0.99
CC12CCC3C(C1CCC2=O)CC=C4C3(CCCC4)C=O,-0.15
CC12CCCCC1=CCC3C2CCC4(C3CCC4=O)C,0.92
CC12CCCCC1=CCC3C2CCC4(C3CC(C4=O)Br)C,-1.04
CC12CCCCC1=CC(=O)C3C2CCC4(C3CCC4=O)C,0.6
CC12CCC3C(C1CCC2=O)C(=O)C=C4C3(CCC=C4)C,0.66
