Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
109399-3%1.1%Doryanthaceae%%N%Doratanthes%%N%%%gen.%Lemaire%%Lemaire%Doratanthes%Dictionnaire Universel d'Histoire Naturelle 5%%1849%% Orthographic variant - see DORYANTHES Corr.-Ser.%%%%%unknown
109723-3%1.1%Doryanthaceae%%N%Doryanthes%%N%%%gen.%Correa%%Correa%Doryanthes%Transactions of the Linnean Society of London, Botany 6%%1802%% Orthographic variants include DORATHANTHES Lemaire in Orbigny, Dict. Hist. Nat. 5 (1849) 117.%%%%%unknown
1443-1%1.6%Doryanthaceae%%N%Doryanthes%%N%%%gen.%Corrêa%%Corrêa%Doryanthes%Trans. Linn. Soc. London%6: 211, t. 23, 24%1802%%%%%%%tax. nov.
