Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
6515-1%1.3%Alzateaceae%%N%Alzalia%%N%%%gen.%F.Dietr.%%F.Dietr.%Alzalia%Lexik. Gaertn.%i. 299 (1802)%%%%%%%%tax. nov.
30130750-2%1.2.2.1%Alzateaceae%%N%Alzatea%%N%%%gen.%Ruiz & Pav.%%Ruiz & Pav.%Alzatea%Fl. Peruv. Prodr.%40, t. 7%1794 [early-Oct 1794]%%%%%%%tax. nov.
6516-1%1.4%Alzateaceae%%N%Alzatea%%N%%%gen.%Ruiz & Pav.%%Ruiz & Pav.%Alzatea%Fl. Peruv. Prodr.%40, t. 7%1794 [early Oct 1794]%%%%%%%unknown
6517-1%1.1.2.2.1.2%Alzateaceae%%N%Alziniana%%N%%%gen.%F.Dietr. ex Pfeiff.%%F.Dietr. ex Pfeiff.%Alziniana%Nomencl. Bot. [Pfeiff.]%1: 129%1873%%%%%%%tax. nov.
