Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
34297-1%1.4%Carlemanniaceae%%N%Carlemannia%%N%%%gen.%Benth.%%Benth.%Carlemannia%Hooker's J. Bot. Kew Gard. Misc.%5: 308%1853%%%%%%%tax. nov.
35232-1%1.5%Carlemanniaceae%%N%Quiducia%%N%%%gen.%Gagnep.%%Gagnep.%Quiducia%Bull. Soc. Bot. France%95: 33%1948%%%%%%%tax. nov.
35352-1%1.6%Carlemanniaceae%%N%Silvianthus%%N%%%gen.%Hook.f.%%Hook.f.%Silvianthus%Hooker's Icon. Pl.%11: t. 1048%1868 [Jun 1868]%%%%%%%tax. nov.
