pygeoip
trytond_nereid >= 3.6, < 3.7
fio_nereid_cms >= 3.6, < 3.7
trytond_nereid_catalog >= 3.6, < 3.7
trytond_nereid_cart_b2c >= 3.6, < 3.7
trytond_nereid_checkout >= 3.6, < 3.7
trytond_nereid_catalog_tree >= 3.6, < 3.7
trytond_nereid_image_transformation >= 3.6, < 3.7
fio_nereid_wishlist >= 3.6, < 3.7
fio_product_variant >= 3.6, < 3.7
fio_gift_card >= 3.6, < 3.7
trytond >= 3.6, < 3.7
