Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
26128-1%1.2%Mayacaceae%%N%Biaslia%%N%%%gen.%Vand.%%Vand.%Biaslia%Fl. Lusit. Brasil. Spec.%4, t. 1. f. 2%1788%%%%%%%unknown
26129-1%1.3%Mayacaceae%%N%Coletia%%N%%%gen.%Vell.%%Vell.%Coletia%Fl. Flumin.%32%1829 [1825 publ. 7 Sep-28 Nov 1829]%%%%%%%unknown
26130-1%1.3%Mayacaceae%%N%Mayaca%%N%%%gen.%Aubl.%%Aubl.%Mayaca%Hist. Pl. Guiane%1: 42, t. 15%1775%%%%%%%unknown
26131-1%1.3%Mayacaceae%%N%Syena%%N%%%gen.%Schreb.%%Schreb.%Syena%Gen. Pl., ed. 8[a].%1: 39%1789 [Apr 1789]%%%%%%%unknown
