Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
1109-1%1.2.1.1%Achatocarpaceae%%N%Achatocarpus%%N%%%gen.%Triana%%Triana%Achatocarpus%Ann. Sci. Nat., Bot.%sér. 4, 9: 45%1858%%%%%%%unknown
31933-1%1.4%Achatocarpaceae%%N%Phaulothamnus%%N%%%gen.%A.Gray%%A.Gray%Phaulothamnus%Proc. Amer. Acad. Arts%xx. (1885) 293.%%%%%%%%tax. nov.
327317-2%1.3%Achatocarpaceae%%N%Phaulothamnus%%N%%%gen.%A.Gray%%A.Gray%Phaulothamnus%Proc. Amer. Acad. Arts%20: 293%1885%%%%%%%tax. nov.
