Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
15293-1%1.1.2.1.1.1.2.1.1.2%Daphniphyllaceae%%N%Daphniphyllum%%N%%%gen.%Blume%%Blume%Daphniphyllum%Bijdr. Fl. Ned. Ind.%17: 1152%Oct 1826-Nov 1827%%%%%%%tax. nov.
15457-1%1.2.2.2%Daphniphyllaceae%%N%Goughia%%N%%%gen.%Wight%%Wight%Goughia%Icon. Pl. Ind. Orient. [Wight]%v. 22. t. 1878, 1879 (1852)%%%%%%%%tax. nov.
15472-1%1.5%Daphniphyllaceae%%N%Gyrandra%%N%%%gen.%Wall.%%Wall.%Gyrandra%Numer. List [Wallich]%n. 8020%1847%nom. inval. nom. nud.%%%%%%tax. nov.
