Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
33029-1%1.3%Quiinaceae%%N%Froesia%%N%%%gen.%Pires%%Pires%Froesia%Bol. Tecn. Inst. Agron. N.%No. 15, 22 (1948)%%%%%%%%unknown
295877-2%1.3%Quiinaceae%%N%Froesia%%N%%%gen.%Pires%%Pires%Froesia%Bol. Tecn. Inst. Agron. N.%15: 22.%1948%%%%%%%tax. nov.
33030-1%1.3%Quiinaceae%%N%Lacunaria%%N%%%gen.%Ducke%%Ducke%Lacunaria%Arch. Jard. Bot. Rio de Janeiro%iv. 139 (1925).%%%%%%%%unknown
295628-2%1.4%Quiinaceae%%N%Macrodendron%%N%%%gen.%Taub.%%Taub.%Macrodendron%Bot. Jahrb. Syst.%12(1-2, Beibl. 27): 19%1890 [24 Jun 1890]%%%%%%%tax. nov.
19400-1%1.1.2.1.1.1%Quiinaceae%%N%Quiina%%N%%%gen.%Aubl.%%Aubl.%Quiina%Hist. Pl. Guiane Suppl.%19, t. 379 (1775)%1775%%%%%%%tax. nov.
19424-1%1.4%Quiinaceae%%N%Touroulia%%N%%%gen.%Aubl.%%Aubl.%Touroulia%Hist. Pl. Guiane%1: 492, t. 194%1775%%%%%%%tax. nov.
