Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
4323-1%1.3.2.1%Dioncophyllaceae%%N%Dioncophyllum%%N%%%gen.%Baill.%%Baill.%Dioncophyllum%Bull. Mens. Soc. Linn. Paris%ii. (1890) 870.%%%%%%%%tax. nov.
14245-1%1.2.1.3%Dioncophyllaceae%%N%Habropetalum%%N%%%gen.%Airy Shaw%%Airy Shaw%Habropetalum%Kew Bull.%6(3): 334%1952 [1951 publ. 26 Jan 1952]%%%%%%%unknown
14246-1%1.2.1.3%Dioncophyllaceae%%N%Triphyophyllum%%N%%%gen.%Airy Shaw%%Airy Shaw%Triphyophyllum%Kew Bull.%6(3): 341%1952 [1951 publ. 26 Jan 1952]%%%%%%%unknown
