Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
36263-1%1.3%Hippocastanaceae%%N%Aesculus%%N%%%gen.%L.%%L.%Aesculus%Sp. Pl.%1: 344%1753 [1 May 1753]%%%%%%%tax. nov.
36298-1%1.4%Hippocastanaceae%%N%Billia%%N%%%gen.%Peyr.%%Peyr.%Billia%Bot. Zeitung (Berlin)%16: 153; 17: 221 (1859)%1858%%%%%%%tax. nov.
331405-2%1.3%Hippocastanaceae%%N%Billia%%N%%%gen.%Peyr.%%Peyr.%Billia%Bot. Zeitung (Berlin)%16: 153%1858 [28 May 1858]%%nom. cons.%%%%%tax. nov.
19627-1%1.5%Hippocastanaceae%%N%Hippocastanum%%N%%%gen.%Mill.%%Mill.%Hippocastanum%Gard. Dict. Abr., ed. 4.%(1754); Druce in Rep. Bot. Exch. Cl. Brit. Isles, 3: 432 (1913)%1754%%%%%%%unknown
19628-1%1.5%Hippocastanaceae%%N%Pavia%%N%%%gen.%Mill.%%Mill.%Pavia%Gard. Dict. Abr., ed. 4.%(1754); Druce in Rep. Bot. Exch. Cl. Brit. Isles, 3: 434 (1913)%1754%%%%%%%unknown
