Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
12042-1%1.1.2.2.1.2.1.1%Coriariaceae%%N%Coriaria%%N%%%gen.%Niss. ex L.%%Niss. ex L.%Coriaria%Sp. Pl.%2: 1037%1753 [1 May 1753]%%%%%%%unknown
12043-1%1.3%Coriariaceae%%N%Heterocladus%%N%%%gen.%Turcz.%%Turcz.%Heterocladus%Bull. Soc. Imp. Naturalistes Moscou%xx. (1847) I. 152%%%%%%%%unknown
12044-1%1.3%Coriariaceae%%N%Heterophylleia%%N%%%gen.%Turcz.%%Turcz.%Heterophylleia%Bull. Soc. Imp. Naturalistes Moscou%xxi. (1848) I. 591%%%%%%%%unknown
