Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
24072-1%1.4%Hostaceae%%N%Bryocles%%N%%%gen.%Salisb.%%Salisb.%Bryocles%Trans. Hort. Soc. London%i. (1812) 335%%%%%%%%tax. nov.
24272-1%1.4%Hostaceae%%N%Funckia%%N%%%gen.%Dumort.%%Dumort.%Funckia%Anal. Fam. Pl.%60 (1829)%1829%%%%%%%tax. nov.
24274-1%1.3%Hostaceae%%N%Funkia%%N%%%gen.%Spreng.%%Spreng.%Funkia%Anleit.%ii I. 246 (1817); Syst. ii. 40 (1825)%%%%%%%%tax. nov.
24365-1%1.4%Hostaceae%%N%Hosta%%N%%%gen.%Tratt.%%Tratt.%Hosta%Arch. Gewächsk.%i. (1812) 55%%%%%%%%tax. nov.
331214-2%1.4%Hostaceae%%N%Hosta%%N%%%gen.%Tratt.%%Tratt.%Hosta%Arch. Gewächsk.%1: 55%1812%%nom. cons.%%%%%tax. nov.
24400-1%1.2%Hostaceae%%N%Junkia%%N%%%gen.%Ritgen%%Ritgen%Junkia%in Marb. Schrift.%ii. (1830) 128, sphalm.%%%%%%%%tax. nov.
