Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
27105-1%1.1.2.1.1.4%Trimeniaceae%%N%Piptocalyx%%N%%%gen.%Oliv. ex Benth.%%Oliv. ex Benth.%Piptocalyx%Fl. Austral.%5: 292%1870 [Aug-Oct 1870]%%%%%%%tax. nov.
100108-3%1.1%Trimeniaceae%%N%Piptocalyx%%N%%%gen.%Benth.%%Benth.%Piptocalyx%Flora Australiensis%%1870 (Aug.-Oct. 1870)%% See proposal to conserve TRIMENIA Seemann over PIPTOCALYX Benth. by W.R.Philipson, Taxon 36 (1987) 169.%%%%%unknown
27117-1%1.1.2.1.1.3%Trimeniaceae%%N%Trimenia%%N%%%gen.%Seem.%%Seem.%Trimenia%Fl. Vit. [Seemann]%425. t. 99 (1871).%%%%%%%%tax. nov.
332034-2%1.3%Trimeniaceae%%N%Trimenia%%N%%%gen.%Seem.%%Seem.%Trimenia%Fl. Vit. [Seemann]%425%1873 [Feb 1873]%%nom. cons.%%%%%tax. nov.
