Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
165753-3%1.1%Azollaceae%%N%Azolla%%N%%%gen.%Lam.%%Lam.%Azolla%Encyclop?die M?thodique, Botanique 1%%1783 (2 Dec. 1783)%%%%%%%unknown
17056870-1%1.3%Azollaceae%%N%Azolla%%N%%%gen.%Lamarck%%Lamarck%Azolla%Encycl. meth.%1. 343. 1783%1783%%%%%%(Salviniaceae Gen. 1).%unknown
17218500-1%1.2.2.2%Azollaceae%%N%Rhizosperma%%N%%%gen.%Meyen%%Meyen%Rhizosperma%Reise Erde%1: 337%1834 [25-31 May 1834]%%%%%%%unknown
