Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
3933-1%1.1.2.1.1.1%Lardizabalaceae%%N%Akebia%%N%%%gen.%Decne.%%Decne.%Akebia%Arch. Mus. Hist. Nat.%i. (1837) 195. t. 13.%%%%%%%%unknown
984272-1%1.2.2.1.1.2%Lardizabalaceae%%N%Archakebia%%N%%%gen.%C.Y.Wu, T.C.Chen & H.N.Qin%%C.Y.Wu, T.C.Chen & H.N.Qin%Archakebia%Acta Phytotax. Sin.%33(3): 240 (1995).%1995%%%%%%%tax. nov.
3941-1%1.1.2.1.1.1.2.1%Lardizabalaceae%%N%Boquila%%N%%%gen.%Decne.%%Decne.%Boquila%in Comptes Rend.%(1837) 394; et in Arch. Mus. Par. i. (1839) 188. t. 11 B.%%%%%%%%tax. nov.
30215755-2%1.1.2.1%Lardizabalaceae%%N%Boquila%%N%%%gen.%Decne.%%Decne.%Boquila%Compt. Rend. Hebd. Séances Acad. Sci.%5: 394%1837 [Jul-Dec 1837]%%%%%%%tax. nov.
3944-1%1.1.2.2.1.2%Lardizabalaceae%%N%Decaisnea%%N%%%gen.%Hook.f. & Thomson%%Hook.f. & Thomson%Decaisnea%Proc. Linn. Soc.%ii. (1854) 350.%%%%%%%%tax. nov.
331545-2%1.4%Lardizabalaceae%%N%Decaisnea%%N%%%gen.%Hook.f. & Thomson%%Hook.f. & Thomson%Decaisnea%Proc. Linn. Soc. London%2: 350%1855%%nom. cons.%%%%%tax. nov.
3950-1%1.4%Lardizabalaceae%%N%Holboellia%%N%%%gen.%Wall.%%Wall.%Holboellia%Tent. Fl. Napal.%1: 23, tt. 16, 17%1824 [Jul-Dec 1824]%%%%%%%tax. nov.
3953-1%1.5%Lardizabalaceae%%N%Lardizabala%%N%%%gen.%Ruiz & Pav.%%Ruiz & Pav.%Lardizabala%Fl. Peruv. Prodr.%143, t. 37%1794 [early Oct 1794]%%%%%%%tax. nov.
3963-1%1.2.2.1.1.1%Lardizabalaceae%%N%Parvatia%%N%%%gen.%Decne.%%Decne.%Parvatia%Arch. Mus. Hist. Nat.%i. (1837) 190. t. 12 A.%%%%%%%%tax. nov.
21318-1%1.4%Lardizabalaceae%%N%Sinofranchetia%%N%%%gen.%Hemsl.%%Hemsl.%Sinofranchetia%Hooker's Icon. Pl.%29: t. 2842%1907 [1909 publ. Dec 1907]%%%%%%%unknown
3971-1%1.4%Lardizabalaceae%%N%Stauntonia%%N%%%gen.%DC.%%DC.%Stauntonia%Syst. Nat. [Candolle]%1: 513%1817 [1818 publ. 1-15 Nov 1817]%%%%%%%tax. nov.
