Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
24097-1%1.2%Hemerocallidaceae%%N%Cameraria%%N%%%gen.%Boehm.%%Boehm.%Cameraria%in Ludw. Def. Gen. Pl.%56 (1760)%%%%%%%%tax. nov.
24323-1%1.5%Hemerocallidaceae%%N%Hemerocalis%%N%%%gen.%Murray%%Murray%Hemerocalis%Syst. Veg., ed. 14 (J. A. Murray).%339%1784%%%%%%%tax. nov.
24324-1%1.4%Hemerocallidaceae%%N%Hemerocallis%%N%%%gen.%L.%%L.%Hemerocallis%Sp. Pl.%1: 324%1753 [1 May 1753]%%%%%%%tax. nov.
