Id%Version%Family%Infra family%Hybrid genus%Genus%Infra genus%Hybrid%Species%Infra species%Rank%Authors%Basionym author%Publishing author%Full name without family and authors%Publication%Collation%Publication year full%Name status%Remarks%Basionym%Replaced synonym%Nomenclatural synonym%Distribution%Citation type
27828-1%1.2.2.1.1.4%Lilaeaceae%%N%Heterostylus%%N%%%gen.%Hook.%%Hook.%Heterostylus%Fl. Bor.-Amer. (Hooker)%2(10): 171%1838 [Dec 1838]%%%%%%%tax. nov.
27836-1%1.2.2.1%Lilaeaceae%%N%Lilaea%%N%%%gen.%Bonpl.%%Bonpl.%Lilaea%Pl. Aequinoct. [Humboldt & Bonpland]%1: 221, t. 63%1808 [Apr 1808]%%%%%%%tax. nov.
120490-3%1.1%Lilaeaceae%%N%Lilaea%%N%%%gen.%Bonpl.%%Bonpl.%Lilaea%Plantae Aequinoctiales 1%%1808 (Apr. 1808)%% Publication seen at E.%%%%%unknown
30191184-2%1.1.2.1.1.2%Lilaeaceae%%N%Lilaea%%N%%%gen.%Bonpl.%%Bonpl.%Lilaea%Pl. Aequinoct. [Humboldt & Bonpland]%1: 221, t. 63%1808 [Apr 1808]%%%%%%%tax. nov.
